,,Expert 1,Expert 2,Expert 3,Expert 4,Expert 5,,
drastic-fuzzy,-0.1,7,2,3,7,5,4.8,4.43
exponential-sympathetic,-0.1,2,1,4,3,7,3.4,
rocky-evaporative,-0.1,5,1,3,5,4,3.6,
perfectionist-warm,-0.1,7,3,3,5,6,4.8,
poetic-uniform,-0.1,4,1,6,6,2,3.8,
joyful-thermal,-0.1,7,2,4,6,6,5,
cute-visionary,-0.1,7,2,5,3,6,4.6,
rational-glorious,-0.1,5,4,7,5,6,5.4,
graceful-fanatical,-0.05,5,3,3,5,7,4.6,4.55
exponential-pleasant,-0.05,2,4,3,3,6,3.6,
drastic-adorable,-0.05,7,3,6,6,7,5.8,
mobile-sympathetic,-0.05,2,2,4,5,6,3.8,
rocky-harmonic,-0.05,4,6,5,5,6,5.2,
unconventional-palpable,-0.05,7,6,2,1,7,4.6,
rugged-nitrous,-0.05,1,6,4,6,7,4.8,
iconic-considerate,-0.05,4,4,4,4,4,4,
harmonious-nitrous,0,2,3,4,5,7,4.2,4.85
graceful-obsessive,0,6,2,5,3,6,4.4,
minimalist-eager,0,4,5,5,3,6,4.6,
calm-utilitarian,0,7,5,4,3,6,5,
playful-personable,0,7,6,4,5,5,5.4,
supportive-symbolic,0,4,1,4,5,6,4,
spontaneous-sculptural,0,7,6,7,6,3,5.8,
joyful-kinetic,0,7,6,7,6,1,5.4,
eloquent-intact,0.05,2,2,3,4,6,3.4,4.54
sexy-abrupt,0.05,6,6,5,5,4,5.2,
witty-rigid,0.05,7,4,3,6,7,5.4,
prone-respectful,0.05,3,1,3,4,7,3.6,
smooth-nautical,0.05,7,7,3,6,2,5,
symbolic-keen,0.05,6,1,4,5,6,4.4,
sleek-curious,0.05,5,4,5,5,5,4.8,
respectful-practical,0.1,2,5,3,2,5,3.4,4.77
plump-eccentric,0.1,7,4,5,5,5,5.2,
respectful-daring,0.1,6,4,4,5,6,5,
distinct-enlightening,0.1,4,5,4,5,4,4.4,
personable-pure,0.1,5,6,4,3,4,4.4,
experiential-symbolic,0.1,7,7,6,2,3,5,
reassuring-nimble,0.1,7,6,6,5,6,6,
soft-stretched,0.15,7,6,4,5,3,5,4.75
outstanding-keen,0.15,7,1,6,5,7,5.2,
effective-concrete,0.15,2,1,4,7,3,3.4,
prolific-pleasant,0.15,2,2,4,2,6,3.2,
utilitarian-nimble,0.15,7,7,6,4,3,5.4,
plump-hard,0.15,6,6,3,5,6,5.2,
athletic-forceful,0.15,7,6,7,4,3,5.4,
provoking-joyful,0.15,7,6,6,6,1,5.2,
spinning-nimble,0.2,7,6,5,5,5,5.6,5.17
fine-sturdy,0.2,7,6,3,2,6,4.8,
spontaneous-poetic,0.2,7,1,7,5,5,5,
fearless-majestic,0.2,7,5,7,5,3,5.4,
upscale-haughty,0.2,7,2,3,6,2,4,
warm-energetic,0.2,7,7,7,5,3,5.8,
trapezoidal-skeletal,0.2,7,6,6,6,3,5.6,
sturdy-fearless,0.25,6,6,6,5,5,5.6,4.63
breezy-quiet,0.25,5,5,2,5,2,3.8,
enlightening-gracious,0.25,4,3,3,4,6,4,
incisive-outstanding,0.25,4,6,5,4,6,5,
practical-agile,0.25,6,7,5,5,4,5.4,
global-social,0.25,4,2,4,5,2,3.4,
shaded-sleek,0.25,3,5,5,5,5,4.6,
eccentric-distinctive,0.25,7,7,7,4,1,5.2,
effective-nimble,0.3,2,7,6,4,4,4.6,4.3
rational-polite,0.3,3,4,2,3,6,3.6,
prolific-outstanding,0.3,1,1,3,5,6,3.2,
mannered-quiet,0.3,6,5,5,1,6,4.6,
glorious-enlightening,0.3,4,2,3,4,2,3,
