ID,PoS,Phrase 1,Phrase 2,Phrase 3,Phrase 4,Phrase 5,Phrase 6,total,Mean
1,AA,1,1,1,2,6,1,12,2
2,AA,1,1,6,6,6,1,21,3.5
3,AA,3,3,3,4,6,4,23,3.83
4,AA,4,4,4,4,4,4,24,4
5,AA,6,6,6,6,6,6,36,6
6,AA,4,2,2,1,3,4,16,2.67
7,AA,3,3,6,5,6,2,25,4.17
8,AA,1,1,3,5,5,3,18,3
9,AA,1,1,5,5,6,1,19,3.17
10,AA,5,5,4,5,6,5,30,5
11,AA,1,1,1,3,6,2,14,2.33
12,AA,6,6,6,6,6,6,36,6
13,AA,5,4,5,2,6,3,25,4.17
14,AA,3,5,5,5,3,2,23,3.83
15,AA,1,1,1,1,5,1,10,1.67
16,AA,3,3,3,4,4,3,20,3.33
17,AA,4,1,5,1,5,5,21,3.5
18,AA,5,6,1,6,6,6,30,5
19,AA,1,1,1,1,1,1,6,1
20,AA,3,3,4,3,4,4,21,3.5
21,AA,4,3,3,4,2,2,18,3
22,AA,2,2,2,5,5,5,21,3.5
23,AA,6,5,5,2,6,4,28,4.67
24,AA,2,4,3,5,4,3,21,3.5
25,AA,4,4,4,3,6,5,26,4.33
26,AA,5,6,5,5,6,5,32,5.33
27,AA,5,3,5,4,4,3,24,4
28,AA,4,5,2,6,5,5,27,4.5
29,AA,5,5,6,6,6,6,34,5.67
30,AA,6,5,4,2,6,3,26,4.33
31,AA,5,2,2,1,6,1,17,2.83
32,AA,1,2,1,1,2,4,11,1.83
33,AA,6,4,6,3,5,3,27,4.5
34,AA,6,4,6,5,6,5,32,5.33
35,AA,5,1,5,2,6,4,23,3.83
36,AA,5,4,2,2,6,4,23,3.83
37,AA,5,6,6,6,6,5,34,5.67
38,AA,5,3,1,1,1,1,12,2
39,AA,2,6,3,5,6,4,26,4.33
40,AA,4,4,5,3,4,4,24,4
41,AA,4,6,3,4,5,3,25,4.17
42,AA,4,3,4,4,6,3,24,4
43,AA,6,2,1,1,6,1,17,2.83
44,AA,3,1,4,4,6,6,24,4
45,AA,6,4,6,5,6,4,31,5.17
46,AA,4,6,4,6,6,4,30,5
47,AA,5,5,4,4,5,5,28,4.67
48,AA,6,2,6,2,3,6,25,4.17
49,AA,5,4,6,2,6,6,29,4.83
50,AA,2,2,2,2,5,2,15,2.5
51,AA,5,4,5,2,6,4,26,4.33
52,AA,4,4,5,6,6,4,29,4.83
53,AA,6,1,1,5,1,1,15,2.5
54,AA,5,4,3,2,5,4,23,3.83
55,AA,4,5,5,3,5,5,27,4.5
1, AN,1,3,5,6,1,1,17,2.83
2, AN,2,4,6,6,4,1,23,3.83
3, AN,3,2,5,6,3,2,21,3.5
4, AN,4,4,4,4,4,4,24,4
5, AN,6,6,6,6,6,6,36,6
6, AN,3,2,6,6,6,5,28,4.67
7, AN,4,5,6,6,2,4,27,4.5
8, AN,1,3,6,6,5,1,22,3.67
9, AN,1,1,6,6,1,1,16,2.67
10, AN,5,4,5,6,5,5,30,5
11, AN,2,2,1,2,1,4,12,2
12, AN,6,6,6,6,6,6,36,6
13, AN,2,4,1,5,2,2,16,2.67
14, AN,5,3,4,2,4,4,22,3.67
15, AN,4,1,4,6,5,5,25,4.17
16, AN,5,4,4,5,5,4,27,4.5
